0,1,2,3,4,5,6,7,8,9
Innings No,O,M,R,W,4w,Best,Avg,S/R,E/R
First,35.0,0,210,5,0,3/73,42.00,42.00,6.00
Second,32.0,3,147,6,0,3/27,24.50,32.00,4.59
Overall,67.0,3,357,11,0,3/27,32.45,36.55,5.33
