0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Adelaide Oval,1,1,0,0,0,0,9,9,9.00,29.03,1,0
AMI Stadium,2,2,0,0,1,0,88,93,46.50,81.58,0,0
Arbab Niaz Stadium,1,1,0,0,0,0,14,14,14.00,63.64,0,0
Brisbane Cricket Ground,1,1,0,0,0,0,11,11,11.00,84.62,0,0
Eden Park,2,1,0,0,0,0,20,20,20.00,62.50,0,0
Ibn-e-Qasim Bagh Stadium,1,1,0,0,0,0,10,10,10.00,76.92,0,0
Jinnah Stadium (Sialkot),1,1,0,0,0,0,34,34,34.00,51.52,0,0
McLean Park,1,1,0,0,0,0,11,11,11.00,42.31,0,0
Melbourne Cricket Ground,3,3,0,0,1,0,62,104,34.67,66.24,0,0
North Tasmania Cricket Association Ground,1,1,0,0,0,0,37,37,37.00,58.73,0,0
P Sara Oval,2,2,0,0,0,0,21,30,15.00,49.18,2,0
Seddon Park,1,1,0,0,0,0,17,17,17.00,43.59,1,0
Sinhalese Sports Club Ground,1,1,0,0,1,0,80,80,80.00,105.26,0,0
Sydney Cricket Ground,4,4,1,0,1,0,55,104,34.67,51.49,1,0
Tyronne Fernando Stadium,1,1,0,0,0,0,34,34,34.00,36.17,0,0
WACA Ground,2,2,0,0,0,0,14,25,12.50,33.33,0,0
Overall (16),25,24,1,0,4,0,88,633,27.52,58.39,5,0
