0,1,2,3,4,5,6,7,8,9
Innings No,O,M,R,W,4w,Best,Avg,S/R,E/R
First,347.0,16,1839,45,1,5/42,40.87,46.27,5.30
Second,294.2,18,1515,36,0,3/17,42.08,49.06,5.15
Overall,641.2,34,3354,81,1,5/42,41.41,47.51,5.23
