0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Gaddafi Stadium,8.0,0,22,2,0,2/22,11.00,24.00,2.75
Overall (1),8.0,0,22,2,0,2/22,11.00,24.00,2.75
