0,1,2,3,4,5,6,7,8,9,10,11
Innings No,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
First,2,0,0,0,0,4,8,4.00,30.77,0,0
Second,2,1,0,1,0,87*,89,89.00,66.92,1,0
Overall,4,1,0,1,0,87*,97,32.33,61.01,1,0
