0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
South Africa,10.0,0,60,2,0,2/60,30.00,30.00,6.00
West Indies,14.0,2,93,1,0,1/66,93.00,84.00,6.64
Zimbabwe,20.0,1,96,2,0,2/41,48.00,60.00,4.80
Overall (3),44.0,3,249,5,0,2/41,49.80,52.80,5.66
