0,1,2,3,4,5,6,7,8,9
Innings No,O,M,R,W,4w,Best,Avg,S/R,E/R
First,72.4,7,368,13,0,3/28,28.31,33.54,5.06
Second,33.1,2,126,6,0,3/25,21.00,33.17,3.80
Overall,105.5,9,494,19,0,3/25,26.00,33.42,4.67
