0,1,2,3,4,5,6,7,8,9,10,11
Innings No,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Second,1,1,0,1,0,61*,61,,80.26,2,1
Overall,1,1,0,1,0,61*,61,,80.26,2,1
