0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Adelaide Oval,6,6,1,0,1,0,65,132,26.40,95.65,1,0
Brisbane Cricket Ground,5,5,1,0,0,1,29,69,17.25,65.09,2,0
Devonport Oval,1,1,0,0,0,0,8,8,8.00,50.00,0,0
Eastern Oval,1,1,0,0,0,0,47,47,47.00,74.60,1,0
Lavington Sports Oval,1,1,0,0,0,0,18,18,18.00,52.94,0,0
Melbourne Cricket Ground,13,12,0,0,1,1,71,294,24.50,74.43,5,0
Sydney Cricket Ground,13,11,0,0,1,2,53,203,18.45,75.46,1,0
WACA Ground,6,6,1,0,1,0,68,140,28.00,98.59,3,0
,,,,,,,,,,,,
