0,1,2,3,4,5,6,7,8,9
Innings No,O,M,R,W,4w,Best,Avg,S/R,E/R
First,87.2,7,407,12,1,4/29,33.92,43.67,4.66
Second,65.5,5,315,10,0,3/21,31.50,39.50,4.78
Overall,153.1,12,722,22,1,4/29,32.82,41.77,4.71
