0,1,2,3,4,5,6,7,8,9,10,11,12
Versus,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Australia,7,7,1,0,0,1,11*,42,7.00,59.15,8,0
Bangladesh,1,1,1,0,0,0,20*,20,,51.28,2,0
Canada,1,1,1,0,0,0,23*,23,,287.50,0,1
Ireland,1,1,0,0,0,0,19,19,19.00,126.67,1,1
Kenya,1,0,0,0,0,0,0,0,,,0,0
New Zealand,5,5,1,0,0,1,49,112,28.00,86.82,6,1
South Africa,1,1,0,0,0,0,1,1,1.00,50.00,1,0
Sri Lanka,1,1,0,0,0,0,42,42,42.00,95.45,1,0
West Indies,1,1,0,0,0,0,38,38,38.00,97.44,1,0
Overall (9),19,18,4,0,0,2,49,297,21.21,85.59,20,3
