0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Adelaide Oval,3,3,0,0,1,1,65,70,23.33,111.11,4,0
Barabati Stadium,1,1,0,0,0,0,10,10,10.00,111.11,1,0
Bay Oval,1,1,1,0,0,0,36*,36,,180.00,1,0
Bellerive Oval,1,1,0,0,0,0,25,25,25.00,104.17,0,0
Brisbane Cricket Ground,3,2,0,0,0,0,49,91,45.50,133.82,6,2
County Ground (Bristol),2,1,0,0,0,0,2,2,2.00,50.00,4,0
Darren Sammy National Cricket Stadium,1,1,0,0,0,0,23,23,23.00,63.89,0,0
Dubai International Cricket Stadium,2,2,1,1,0,1,116*,116,116.00,214.81,1,0
Eden Gardens,1,1,0,0,0,0,11,11,11.00,73.33,3,0
Eden Park,1,1,0,0,0,0,3,3,3.00,75.00,3,0
Edgbaston,10,7,1,1,0,1,129,211,35.17,125.60,7,0
Hagley Oval,2,1,0,0,0,0,24,24,24.00,171.43,5,0
Headingley,5,4,0,0,0,0,49,100,25.00,111.11,9,1
Himachal Pradesh Cricket Association Stadium,1,0,0,0,0,0,0,0,,,0,0
Kennington Oval,10,7,3,0,0,1,43*,154,38.50,118.46,16,0
Kensington Oval,3,3,1,0,0,0,34,45,22.50,115.38,2,1
Lord's,8,8,0,1,1,1,121,231,28.88,112.68,12,2
Maharashtra Cricket Association Stadium,1,1,0,0,0,0,31,31,31.00,86.11,1,0
Mahinda Rajapaksha International Cricket Stadium,1,1,1,0,1,0,55*,55,,148.65,2,1
Mangaung Oval,1,1,0,1,0,0,105,105,105.00,138.16,0,0
Mannofield Park,1,1,0,0,0,0,9,9,9.00,180.00,0,0
McLean Park,1,0,0,0,0,0,0,0,,,2,0
Melbourne Cricket Ground,3,3,1,0,0,0,34*,48,24.00,104.35,2,0
National Cricket Stadium (Grenada),2,1,0,1,0,0,150,150,150.00,194.81,1,2
Newlands,1,1,0,0,0,1,0,0,0.00,,1,1
Old Trafford,5,3,1,1,1,0,110*,187,93.50,98.94,11,1
Optus Stadium,1,1,0,0,0,0,21,21,21.00,84.00,1,1
Pallekele International Cricket Stadium,4,2,1,0,0,0,22,24,24.00,88.89,3,0
Punjab Cricket Association IS Bindra Stadium,1,1,0,0,0,0,14,14,14.00,155.56,1,0
R Premadasa Stadium,5,5,0,0,0,1,23,66,13.20,80.49,1,0
Rangiri Dambulla International Stadium,2,1,0,0,0,0,28,28,28.00,112.00,3,0
Riverside Ground,3,3,1,0,1,0,54*,69,34.50,146.81,5,1
Seddon Park,2,2,0,0,1,0,79,100,50.00,128.21,4,1
Sharjah Cricket Stadium,1,1,1,0,0,0,49*,49,,98.00,1,0
Sheikh Zayed Stadium,2,2,0,0,0,0,11,12,6.00,100.00,3,0
Shere Bangla National Stadium,2,2,0,0,2,0,63,120,60.00,126.32,3,1
Sir Vivian Richards Stadium,5,5,0,0,1,2,99,125,25.00,97.66,6,3
Sophia Gardens,8,8,3,0,5,0,91*,371,74.20,132.50,6,5
St George's Park,1,1,1,0,0,0,48*,48,,171.43,1,0
SuperSport Park,1,1,0,0,0,1,0,0,0.00,,1,0
Sydney Cricket Ground,4,3,1,1,0,0,100*,132,66.00,87.42,6,0
The Rose Bowl,9,6,2,1,1,0,110*,236,59.00,140.48,13,2
The Village,1,0,0,0,0,0,0,0,,,0,0
Trent Bridge,10,8,2,1,3,1,103,439,73.17,120.27,7,4
University Oval,1,1,0,0,0,1,0,0,0.00,,1,0
WACA Ground,3,3,0,0,2,0,71,155,51.67,108.39,10,1
Wanderers Stadium,1,1,0,0,0,0,1,1,1.00,16.67,0,0
Westpac Stadium,3,3,1,0,0,0,39*,71,35.50,144.90,0,0
Zahur Ahmed Chowdhury Stadium,1,1,0,0,0,0,25,25,25.00,96.15,1,1
Overall (49),142,117,23,9,20,12,150,3843,40.88,119.83,171,31
