0,1,2,3,4,5,6,7,8,9,10,11
Innings No,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
First,3,0,0,0,0,31,33,11.00,46.48,0,0
Second,2,0,0,0,0,19,24,12.00,63.16,1,0
Overall,5,0,0,0,0,31,57,11.40,52.29,1,0
