0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,14.4,3,57,5,0,3/19,11.40,17.60,3.89
Melbourne Cricket Ground,37.1,1,199,3,0,1/42,66.33,74.33,5.35
Sharjah Cricket Stadium,9.0,1,33,0,0,0/10,,,3.67
Sydney Cricket Ground,19.3,3,71,3,0,3/40,23.67,39.00,3.64
WACA Ground,5.3,0,15,1,0,1/15,15.00,33.00,2.73
Overall (5),85.5,8,375,12,0,3/19,31.25,42.92,4.37
