0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
Australia,12.0,0,48,0,0,0/12,,,4.00
Bangladesh,10.0,0,41,1,0,1/41,41.00,60.00,4.10
New Zealand,20.0,0,91,5,0,3/45,18.20,24.00,4.55
Sri Lanka,29.0,0,103,5,0,3/28,20.60,34.80,3.55
Overall (4),71.0,0,283,11,0,3/28,25.73,38.73,3.99
