0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,18.0,0,58,2,0,2/26,29.00,54.00,3.22
AMI Stadium,10.0,0,51,2,0,2/51,25.50,30.00,5.10
Bellerive Oval,10.0,1,30,1,0,1/30,30.00,60.00,3.00
Brisbane Cricket Ground,10.0,1,32,2,0,2/32,16.00,30.00,3.20
Eden Park,8.0,0,41,0,0,0/41,,,5.13
Melbourne Cricket Ground,17.0,2,89,2,0,1/38,44.50,51.00,5.24
Sydney Cricket Ground,27.0,3,109,3,0,2/25,36.33,54.00,4.04
WACA Ground,10.0,0,39,0,0,0/39,,,3.90
Overall (8),110.0,7,449,12,0,2/25,37.42,55.00,4.08
