0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
AMI Stadium,4.0,0,26,0,0,0/26,,,6.50
Buffalo Park,7.0,0,33,0,0,0/12,,,4.71
Kingsmead,7.0,0,49,0,0,,,,7.00
Mangaung Oval,7.0,0,38,0,0,0/16,,,5.43
Melbourne Cricket Ground,5.0,0,27,0,0,,,,5.40
Newlands,3.0,0,11,0,0,,,,3.67
Seddon Park,3.0,0,23,0,0,0/23,,,7.67
St George's Park,11.0,0,49,3,0,1/13,16.33,22.00,4.45
SuperSport Park,9.0,0,45,3,0,3/32,15.00,18.00,5.00
Sydney Cricket Ground,3.0,0,17,0,0,0/17,,,5.67
WACA Ground,10.0,2,30,3,0,2/15,10.00,20.00,3.00
Wanderers Stadium,5.0,0,17,1,0,1/17,17.00,30.00,3.40
Overall (12),74.0,2,365,10,0,3/32,36.50,44.40,4.93
