0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Bangabandhu National Stadium,9,9,1,0,2,1,62*,220,27.50,61.45,1,0
Cazaly's Stadium,2,2,0,0,0,0,8,16,8.00,38.10,0,0
City Oval,1,1,0,0,0,0,10,10,10.00,76.92,0,0
Gymkhana Club Ground,1,1,0,0,0,0,13,13,13.00,30.23,0,0
Harare Sports Club,2,2,0,0,0,1,7,7,3.50,25.93,1,0
Kingsmead,1,1,0,0,0,0,9,9,9.00,50.00,0,0
MA Aziz Stadium,3,3,0,0,0,0,13,29,9.67,33.72,1,0
Mangaung Oval,1,1,0,0,0,1,0,0,0.00,,0,0
R Premadasa Stadium,1,1,0,0,0,0,20,20,20.00,153.85,0,0
Senwes Park,1,1,0,0,0,0,1,1,1.00,16.67,2,0
Sinhalese Sports Club Ground,4,4,0,0,0,2,25,30,7.50,49.18,0,0
Wanderers Stadium,1,1,0,0,0,0,14,14,14.00,116.67,0,0
Willowmoore Park,2,2,0,0,0,1,5,5,2.50,27.78,2,0
Overall (13),29,29,1,0,2,6,62*,374,13.36,52.75,7,0
