0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Adelaide Oval,3,3,1,0,0,0,36*,64,32.00,62.14,0,0
Bellerive Oval,2,2,0,0,0,0,38,45,22.50,70.31,1,0
Brisbane Cricket Ground,2,2,1,0,0,0,17*,28,28.00,75.68,1,0
Melbourne Cricket Ground,4,4,1,0,0,0,39,73,24.33,47.10,1,0
Sydney Cricket Ground,3,3,1,0,0,1,26*,36,18.00,41.86,1,0
,,,,,,,,,,,,
