0,1,2,3,4,5,6,7,8,9,10,11,12
Versus,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Australia,19,19,1,1,3,1,111*,605,33.61,69.54,3,0
India,15,15,1,1,3,2,105,484,34.57,74.23,4,0
Namibia,1,1,0,0,0,0,6,6,6.00,50.00,0,0
Netherlands,1,1,0,0,1,0,51,51,51.00,87.93,1,0
New Zealand,9,9,2,0,3,0,84*,356,50.86,81.09,3,0
Pakistan,10,10,2,2,1,0,125*,393,49.13,70.30,7,0
South Africa,9,9,1,0,5,0,74,436,54.50,63.28,3,0
Sri Lanka,15,15,0,0,3,1,94,528,35.20,70.68,12,0
West Indies,7,7,0,1,2,0,122,329,47.00,75.81,3,0
Zimbabwe,14,14,3,0,4,2,82*,449,40.82,71.96,8,0
Overall (10),100,100,10,5,25,6,125*,3637,40.41,71.54,44,0
