0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Bready Cricket Club,1,1,1,0,0,0,16*,16,,123.08,1,0
Civil Service Cricket Club,2,1,0,0,0,0,7,7,7.00,70.00,0,0
,,,,,,,,,,,,
