0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Adelaide Oval,8,7,1,0,0,1,15,32,5.33,82.05,1,0
Bellerive Oval,4,4,1,0,0,1,10,17,5.67,45.95,3,0
Brisbane Cricket Ground,7,5,1,0,0,1,14*,44,11.00,37.93,0,0
Etihad Stadium,1,1,1,0,0,0,7*,7,,46.67,0,0
Manuka Oval,1,0,0,0,0,0,0,0,,,0,0
Melbourne Cricket Ground,8,7,3,0,0,0,14,48,12.00,67.61,1,0
Sydney Cricket Ground,9,9,4,0,0,1,18,80,16.00,80.00,3,0
WACA Ground,9,9,2,0,0,2,21,67,9.57,65.05,1,0
,,,,,,,,,,,,
