0,1,2,3,4,5,6,7,8,9,10,11,12
Country,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Australia,13,13,1,0,1,0,97,341,28.42,56.46,7,0
England and Wales,2,2,0,0,0,0,12,19,9.50,32.76,1,0
United Arab Emirates,2,2,1,0,0,0,17*,19,19.00,51.35,0,0
,,,,,,,,,,,,
