0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Antigua Recreation Ground,1,1,0,0,0,0,1,1,1.00,5.88,0,0
Barabati Stadium,1,1,0,0,0,0,9,9,9.00,75.00,1,0
Bourda,1,1,0,0,0,0,6,6,6.00,50.00,0,0
Captain Roop Singh Stadium,1,1,0,0,0,1,0,0,0.00,,0,0
Eden Gardens,1,1,0,0,1,0,51,51,51.00,76.12,1,0
Ibn-e-Qasim Bagh Stadium,1,1,0,0,0,0,6,6,6.00,60.00,0,0
Keenan Stadium,1,1,0,0,0,1,0,0,0.00,,0,0
Madhavrao Scindia Cricket Ground,1,1,0,0,0,0,10,10,10.00,71.43,0,0
Nahar Singh Stadium,1,1,0,0,0,1,0,0,0.00,,1,0
National Stadium (Karachi),1,1,0,0,0,0,16,16,16.00,47.06,0,0
Nehru Stadium (Indore),1,1,0,0,0,1,0,0,0.00,,0,0
Sardar Patel Stadium,1,1,0,0,0,0,16,16,16.00,44.44,1,0
Vidarbha Cricket Association Ground,1,1,0,0,0,0,7,7,7.00,35.00,0,0
Overall (13),13,13,0,0,1,4,51,122,9.38,52.59,4,0
