0,1,2,3,4,5,6,7,8,9
Innings No,O,M,R,W,4w,Best,Avg,S/R,E/R
First,78.5,0,433,7,0,2/55,61.86,67.57,5.49
Second,44.2,0,223,5,1,5/31,44.60,53.20,5.03
Overall,123.1,0,656,12,1,5/31,54.67,61.58,5.33
