0,1,2,3,4,5,6,7,8,9
Innings No,O,M,R,W,4w,Best,Avg,S/R,E/R
First,282.0,17,1116,23,0,3/36,48.52,73.57,3.96
Second,259.5,13,1145,22,0,3/22,52.05,70.86,4.41
Overall,541.5,30,2261,45,0,3/22,50.24,72.24,4.17
