0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,66.1,5,292,17,1,5/28,17.18,23.35,4.41
Arnos Vale Ground,23.2,4,88,4,0,2/22,22.00,35.00,3.77
Bellerive Oval,9.3,0,51,2,0,2/51,25.50,28.50,5.37
Brisbane Cricket Ground,35.0,1,186,9,1,5/33,20.67,23.33,5.31
Castle Avenue,6.0,0,39,0,0,0/39,,,6.50
Darren Sammy National Cricket Stadium,20.0,1,125,3,0,2/68,41.67,40.00,6.25
Dr YS Rajasekhara Reddy Cricket Stadium,10.0,0,55,3,0,3/55,18.33,20.00,5.50
Edgbaston,19.0,0,71,4,0,2/10,17.75,28.50,3.74
Grange Cricket Club,9.0,2,18,1,0,1/18,18.00,54.00,2.00
JSCA International Stadium Complex,2.0,0,13,0,0,0/13,,,6.50
Kennington Oval,20.0,2,93,2,0,1/42,46.50,60.00,4.65
Lord's,10.0,1,43,1,0,1/43,43.00,60.00,4.30
M Chinnaswamy Stadium,10.0,0,89,1,0,1/89,89.00,60.00,8.90
Maharashtra Cricket Association Stadium,10.0,0,36,2,0,2/36,18.00,30.00,3.60
Manuka Oval,10.0,1,62,2,0,2/62,31.00,30.00,6.20
Melbourne Cricket Ground,47.3,1,223,15,2,4/20,14.87,19.00,4.69
Nehru Stadium (Guwahati),10.0,1,44,0,0,0/44,,,4.40
Old Trafford,15.2,1,74,4,0,3/47,18.50,23.00,4.83
Punjab Cricket Association IS Bindra Stadium,10.0,0,49,1,0,1/49,49.00,60.00,4.90
Rajiv Gandhi International Stadium,10.0,0,59,3,0,3/59,19.67,20.00,5.90
Riverside Ground,10.0,1,29,2,0,2/29,14.50,30.00,2.90
Sawai Mansingh Stadium,7.0,0,64,0,0,0/64,,,9.14
Sophia Gardens,19.2,3,99,4,1,4/39,24.75,29.00,5.12
Sydney Cricket Ground,39.3,4,161,6,0,3/15,26.83,39.50,4.08
The Rose Bowl,9.0,1,54,0,0,0/54,,,6.00
Vidarbha Cricket Association Stadium,7.0,0,47,0,0,0/47,,,6.71
WACA Ground,39.3,8,143,9,1,4/35,15.89,26.33,3.62
Westpac Stadium,10.0,1,57,2,0,2/57,28.50,30.00,5.70
Overall (28),494.1,38,2364,97,6,5/28,24.37,30.57,4.78
