0,1,2,3,4,5,6,7,8,9,10,11,12
Versus,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Australia,10,10,0,0,1,0,58,319,31.90,76.32,5,0
Bangladesh,3,3,0,0,2,0,64,156,52.00,90.70,3,0
India,27,27,1,1,6,3,102,822,31.62,77.11,12,0
New Zealand,13,13,0,0,4,1,78,464,35.69,74.96,7,0
Pakistan,4,4,0,2,1,0,137,323,80.75,88.98,1,0
Scotland,1,1,0,0,0,0,44,44,44.00,93.62,0,0
South Africa,6,6,1,0,1,1,51,89,17.80,54.60,0,0
Sri Lanka,23,23,2,1,4,1,119,809,38.52,74.56,8,0
West Indies,5,5,0,1,0,1,112,178,35.60,80.54,0,0
Overall (9),92,92,4,5,19,7,137,3204,36.41,77.13,36,0
