0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
India,2.0,0,10,0,0,,,,5.00
Pakistan,1.0,0,14,0,0,,,,14.00
Zimbabwe,2.0,0,18,0,0,,,,9.00
Overall (3),5.0,0,42,0,0,,,,8.40
