0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Adelaide Oval,7,3,3,0,0,0,4*,6,,37.50,2,0
Bellerive Oval,1,0,0,0,0,0,0,0,,,1,0
Brisbane Cricket Ground,5,3,3,0,0,0,1*,1,,33.33,0,0
Melbourne Cricket Ground,12,7,5,0,0,1,10,17,8.50,26.56,4,0
North Tasmania Cricket Association Ground,1,1,1,0,0,0,0*,0,,,0,0
Sydney Cricket Ground,17,7,5,0,0,2,4*,11,5.50,39.29,0,0
WACA Ground,6,3,2,0,0,1,6*,7,7.00,53.85,1,0
,,,,,,,,,,,,
