0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Edgbaston,10.0,2,53,2,0,2/53,26.50,30.00,5.30
Headingley,19.0,1,72,1,0,1/44,72.00,114.00,3.79
Lord's,13.0,2,74,1,0,1/45,74.00,78.00,5.69
Queens Sports Club,16.0,4,76,3,0,2/43,25.33,32.00,4.75
Overall (4),58.0,9,275,7,0,2/43,39.29,49.71,4.74
