0,1,2,3,4,5,6,7,8,9,10,11,12
Versus,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Bangladesh,1,1,0,0,0,0,13,13,13.00,32.50,2,0
Kenya,1,1,0,0,0,0,7,7,7.00,70.00,0,0
Sri Lanka,1,1,0,0,0,1,0,0,0.00,,0,0
Overall (3),3,3,0,0,0,1,13,20,6.67,33.33,2,0
