0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
Australia,248.1,17,1214,33,1,4/30,36.79,45.12,4.89
Bangladesh,18.0,7,44,6,1,5/23,7.33,18.00,2.44
England,189.0,14,829,35,1,5/41,23.69,32.40,4.39
Kenya,51.1,6,163,6,0,2/13,27.17,51.17,3.19
Namibia,6.0,0,25,0,0,0/25,,,4.17
Netherlands,9.1,1,30,4,1,4/30,7.50,13.75,3.27
New Zealand,264.2,28,1041,51,2,4/23,20.41,31.10,3.94
Pakistan,328.2,9,1657,54,1,4/49,30.69,36.48,5.05
South Africa,290.4,12,1407,28,0,2/34,50.25,62.29,4.84
Sri Lanka,215.4,16,953,34,3,5/24,28.03,38.06,4.42
United Arab Emirates,10.0,1,49,3,0,3/49,16.33,20.00,4.90
West Indies,205.5,17,860,31,0,3/34,27.74,39.84,4.18
Zimbabwe,152.5,9,575,30,0,3/35,19.17,30.57,3.76
Overall (13),1989.1,137,8847,315,10,5/23,28.09,37.89,4.45
