0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
AMI Stadium,1,1,0,0,0,0,37,37,37.00,105.71,2,0
Arbab Niaz Stadium,2,1,1,0,0,0,3*,3,,75.00,3,0
Eden Park,1,1,0,0,0,0,3,3,3.00,17.65,0,0
Iqbal Stadium,1,0,0,0,0,0,0,0,,,0,0
McLean Park,1,1,1,0,0,0,21*,21,,45.65,0,1
Melbourne Cricket Ground,5,3,0,0,0,1,9,17,5.67,94.44,4,0
National Stadium (Karachi),1,1,1,0,0,0,0*,0,,,1,0
Seddon Park,1,0,0,0,0,0,0,0,,,1,0
Sharjah Cricket Stadium,2,2,0,0,0,0,5,6,3.00,37.50,2,1
Overall (9),15,10,3,0,0,1,37,87,12.43,63.97,13,2
