0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Arun Jaitley Stadium,1.0,0,13,0,0,0/13,,,13.00
Brisbane Cricket Ground,4.0,0,17,0,0,0/17,,,4.25
Edgbaston,4.1,0,16,1,0,1/3,16.00,25.00,3.84
Grange Cricket Club,10.0,1,41,1,0,1/23,41.00,60.00,4.10
Maharashtra Cricket Association Stadium,3.0,0,18,1,0,1/18,18.00,18.00,6.00
Nehru Stadium (Guwahati),2.0,0,4,0,0,0/4,,,2.00
Old Trafford,6.0,0,32,1,0,1/32,32.00,36.00,5.33
Punjab Cricket Association IS Bindra Stadium,1.0,0,3,0,0,0/3,,,3.00
Rajiv Gandhi International Stadium,3.0,0,19,0,0,0/19,,,6.33
Reliance Stadium,4.0,0,22,1,0,1/22,22.00,24.00,5.50
Seddon Park,3.0,0,33,0,0,,,,11.00
The Rose Bowl,4.0,0,25,1,0,1/25,25.00,24.00,6.25
Vidarbha Cricket Association Stadium,5.0,0,33,0,0,,,,6.60
Overall (13),50.1,1,276,6,0,1/3,46.00,50.17,5.50
