0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Antigua Recreation Ground,2,2,0,0,0,1,9,9,4.50,37.50,5,1
Arun Jaitley Stadium,1,1,1,0,1,0,64*,64,,65.98,2,0
Boland Park,1,1,0,0,0,0,6,6,6.00,24.00,0,0
Buffalo Park,1,1,1,0,0,0,28*,28,,75.68,3,0
"Cricket, Skating & Curling Club",7,7,0,0,1,0,64,155,22.14,54.39,4,1
Darren Sammy National Cricket Stadium,3,3,0,0,0,0,37,62,20.67,50.00,3,0
Gymkhana Club Ground,1,1,0,0,0,0,7,7,7.00,140.00,2,1
Hazelaarweg,1,1,0,0,1,0,71,71,71.00,53.79,0,1
Jaffrey Sports Club Ground,2,2,0,1,0,0,122,127,63.50,93.38,1,0
Kingsmead,1,1,0,0,0,0,7,7,7.00,30.43,3,0
M Chinnaswamy Stadium,1,1,0,0,0,0,39,39,39.00,70.91,1,0
Mahinda Rajapaksha International Cricket Stadium,1,1,0,0,0,0,22,22,22.00,46.81,0,0
Mannofield Park,2,2,1,0,1,0,92*,123,123.00,73.65,1,0
Maple Leaf North - West Ground,9,7,0,0,2,0,84,184,26.29,56.79,5,1
Mombasa Sports Ground,3,3,1,0,1,0,64*,79,39.50,69.91,4,0
Newlands,1,1,0,0,0,0,12,12,12.00,80.00,0,0
Queen's Park Oval,2,2,0,0,0,0,16,24,12.00,72.73,3,0
R Premadasa Stadium,1,1,0,0,0,0,16,16,16.00,45.71,1,0
Ruaraka Sports Club Ground,2,2,1,1,1,0,137*,211,211.00,73.01,1,0
Sabina Park,1,1,0,0,0,0,4,4,4.00,200.00,0,0
Senwes Park,2,2,1,0,2,0,58*,111,111.00,66.87,0,1
Sharjah Cricket Stadium,2,2,0,0,2,0,91,143,71.50,90.51,2,0
Sportpark Thurlede,2,2,1,0,1,0,61*,100,100.00,71.43,1,2
Sportpark Westvliet,1,1,0,0,1,0,82,82,82.00,67.21,0,0
SuperSport Park,2,2,0,0,0,0,4,6,3.00,16.22,1,1
Vidarbha Cricket Association Stadium,1,1,0,0,0,1,0,0,0.00,,3,0
VRA Ground,3,3,0,0,0,0,21,43,14.33,51.19,2,0
Wankhede Stadium,1,1,0,0,1,0,84,84,84.00,96.55,1,0
Willowmoore Park,5,5,0,0,1,0,87,145,29.00,62.77,8,1
Overall (29),62,60,7,2,16,2,137*,1964,37.06,65.60,57,10
