0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Sinhalese Sports Club Ground,18.0,2,93,3,0,2/62,31.00,36.00,5.17
Overall (1),18.0,2,93,3,0,2/62,31.00,36.00,5.17
