0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
Bangladesh,3.0,0,10,0,0,0/10,,,3.33
India,19.0,1,102,2,0,1/26,51.00,57.00,5.37
New Zealand,6.0,0,24,0,0,0/24,,,4.00
Pakistan,16.0,0,89,3,0,3/49,29.67,32.00,5.56
South Africa,14.0,1,84,1,0,1/57,84.00,84.00,6.00
West Indies,33.0,2,142,2,0,1/24,71.00,99.00,4.30
Zimbabwe,16.0,1,59,2,0,1/23,29.50,48.00,3.69
Overall (7),107.0,5,510,10,0,3/49,51.00,64.20,4.77
