0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
India,8.0,2,42,1,0,1/42,42.00,48.00,5.25
Ireland,4.0,0,30,1,0,1/30,30.00,24.00,7.50
Zimbabwe,13.0,0,79,1,0,1/50,79.00,78.00,6.08
Overall (3),25.0,2,151,3,0,1/30,50.33,50.00,6.04
