0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Adelaide Oval,3,3,0,0,0,1,28,40,13.33,48.78,1,0
Albion Sports Complex,1,1,0,0,0,0,46,46,46.00,75.41,0,0
AMI Stadium,1,1,0,0,0,0,31,31,31.00,56.36,2,0
Arun Jaitley Stadium,1,1,0,0,0,0,35,35,35.00,89.74,2,0
Basin Reserve,1,1,0,0,0,0,1,1,1.00,16.67,0,0
Brisbane Cricket Ground,2,2,1,0,0,0,6*,7,7.00,28.00,0,0
Carisbrook,1,1,0,0,0,0,9,9,9.00,30.00,0,0
Eden Park,1,1,0,0,1,0,53,53,53.00,84.13,0,0
Gaddafi Stadium,1,1,1,0,0,0,4*,4,,57.14,0,0
Lal Bahadur Shastri Stadium,1,1,0,0,1,0,75,75,75.00,141.51,0,0
Lord's,1,1,0,0,0,0,15,15,15.00,32.61,0,0
Madhavrao Scindia Cricket Ground,1,1,1,0,0,0,35*,35,,56.45,0,0
Melbourne Cricket Ground,9,8,0,0,0,0,28,103,12.88,52.82,0,0
Mindoo Philip Park,1,1,0,0,0,1,0,0,0.00,,0,0
National Stadium (Karachi),1,0,0,0,0,0,0,0,,,0,0
Nehru Stadium (Indore),1,1,1,0,1,0,59*,59,,92.19,1,0
Sabina Park,1,1,0,0,1,0,84,84,84.00,65.12,0,0
Sardar Patel Stadium,1,1,0,0,0,0,22,22,22.00,56.41,0,0
Sawai Mansingh Stadium,1,1,1,0,0,0,7*,7,,100.00,0,0
Sharjah Cricket Stadium,2,2,1,0,1,0,60*,63,63.00,81.82,0,0
Sher-I-Kashmir Stadium,1,1,0,0,0,0,28,28,28.00,68.29,0,0
Sydney Cricket Ground,9,9,1,0,1,0,68,234,29.25,63.24,3,0
WACA Ground,2,2,0,0,0,0,5,8,4.00,32.00,0,0
Overall (23),44,42,7,0,6,2,84,959,27.40,64.84,9,0
