0,1,2,3,4,5,6,7,8,9
Innings No,O,M,R,W,4w,Best,Avg,S/R,E/R
First,43.0,2,276,3,0,2/51,92.00,86.00,6.42
Overall,43.0,2,276,3,0,2/51,92.00,86.00,6.42
