0,1,2,3,4,5,6,7,8,9,10,11,12
Versus,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Australia,15,9,2,0,0,1,20,63,9.00,81.82,9,5
Bangladesh,2,0,0,0,0,0,0,0,,,0,0
England,11,6,2,0,0,2,10*,13,3.25,59.09,9,1
New Zealand,10,9,6,0,0,0,42*,81,27.00,77.14,9,4
Pakistan,12,9,2,0,0,0,26*,68,9.71,78.16,8,4
South Africa,7,5,2,0,0,0,32,42,14.00,46.67,3,0
Sri Lanka,10,6,1,0,0,0,27,57,11.40,68.67,8,1
West Indies,23,19,6,0,0,2,33,202,15.54,63.72,13,10
Zimbabwe,4,2,1,0,0,0,22,37,37.00,137.04,4,2
Overall (9),94,65,22,0,0,5,42*,563,13.09,69.68,63,27
