0,1,2,3,4,5,6,7,8,9,10,11,12
Country,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Australia,21,12,3,0,0,1,20,61,6.78,62.24,17,3
Bangladesh,2,1,0,0,0,0,6,6,6.00,75.00,0,0
England and Wales,2,0,0,0,0,0,0,0,,,2,0
India,32,21,10,0,0,3,42*,183,16.64,83.94,22,13
New Zealand,7,7,3,0,0,0,23*,56,14.00,74.67,4,2
Pakistan,3,2,0,0,0,0,6,8,4.00,50.00,0,0
South Africa,4,4,1,0,0,0,32,42,14.00,48.28,0,0
United Arab Emirates,17,12,4,0,0,0,30,122,15.25,64.89,17,9
West Indies,5,5,1,0,0,1,32,63,15.75,63.64,1,0
Zimbabwe,1,1,0,0,0,0,22,22,22.00,115.79,0,0
,,,,,,,,,,,,
